Calories,Proteins,Fat,Carbohydrate,Name
356.0,20.5,4.1,61.6,Kacang Andong
330.0,23.8,1.4,60.2,Kacang Arab
341.0,30.4,3.2,51.3,Kacang babi kering
204.0,16.9,8.8,17.5,Kacang Belimbing rebus
212.0,17.5,10.0,12.9,Kacang Belimbing tempe
118.0,4.4,1.5,21.6,Kacang beracun segar
370.0,16.0,6.0,65.0,Kacang bogor kering
161.0,7.7,2.8,27.1,Kacang Bogor rebus
165.0,7.7,3.1,27.4,Kacang bogor segar
331.0,25.0,1.0,58.0,Kacang Endel biji
129.0,12.4,0.7,18.3,Kacang ercis segar
336.0,23.1,1.7,59.5,kacang galing segar
336.0,20.7,1.4,62.0,Kacang Gude biji
316.0,20.7,1.0,58.0,Kacang gude biji kering
114.0,7.0,0.6,20.8,Kacang Gude biji muda
123.0,8.4,0.6,1.8,Kacang Gude muda
147.0,9.0,0.5,27.5,Kacang gude rebus
323.0,22.9,1.5,56.8,Kacang hijau kering
109.0,8.7,0.5,18.3,kacang hijau rebus
350.0,17.1,1.8,70.7,Kacang hijau var. bakti kering
339.0,20.8,2.1,64.6,Kacang hijau var. siwalik kering
346.0,16.6,1.7,66.1,Kacang hitam kering
345.0,22.2,1.2,62.9,Kacang Ijo
445.0,11.0,11.0,65.5,Kacang Kapri Goreng 
98.0,6.7,0.4,17.7,Kacang Kapri muda
286.0,30.2,15.6,30.1,Kacang Kedelai basah
75.0,4.1,2.1,10.7,Kacang Kedelai kukus
189.0,20.2,8.2,12.7,Kacang kedelai rebus
286.0,30.2,15.6,30.1,Kacang kedelai segar
327.0,16.4,4.3,55.8,Kacang komak segar
355.0,17.0,2.5,66.0,Kacang kuning kering
346.0,16.5,1.5,66.6,Kacang lebui /iris kering
22.0,1.1,1.0,3.4,Kacang mekah polong segar
344.0,16.7,2.1,64.6,Kacang mentega kering
336.0,23.1,1.7,59.5,Kacang Merah
350.0,13.9,3.0,66.9,Kacang merah /banda kering
314.0,22.1,1.1,56.2,Kacang merah kering
158.0,10.3,0.9,28.2,Kacang Merah kering rebus
